talentlinkId,skill_count,average_similarity,average_competency_score,high_band_count
4772246,8,0.014374999999999999,4.7925,0
14265799,5,0.014097199999999999,4.7,0
835575,6,0.014095333333333335,4.698333333333333,0
70726434,2,0.012874,4.29,0
2927455,8,0.012802875,4.26875,0
824156,9,0.012777777777777777,4.260000000000001,0
72422,9,0.012777777777777779,4.260000000000001,0
60598851,9,0.012777777777777777,4.260000000000001,0
84177,9,0.012777777777777779,4.260000000000001,0
70407340,9,0.012777777777777779,4.260000000000001,0
71462,8,0.01224125,4.081250000000001,0
51071,6,0.012207666666666667,4.07,0
6344047,10,0.0115,3.8340000000000005,0
8235969,10,0.0115,3.8340000000000005,0
7423230,10,0.0115,3.8340000000000005,0
7390515,10,0.0115,3.8340000000000005,0
6943949,10,0.0115,3.8340000000000005,0
6905327,10,0.0115,3.8340000000000005,0
6891254,10,0.0115,3.8340000000000005,0
6249960,10,0.0115,3.8340000000000005,0
2233658,10,0.0115,3.8340000000000005,0
4974590,10,0.0115,3.8340000000000005,0
3421820,10,0.0115,3.8340000000000005,0
2944841,10,0.0115,3.8340000000000005,0
2010496,10,0.0115,3.8340000000000005,0
9124053,10,0.0115,3.8340000000000005,0
4162177,10,0.0115,3.8340000000000005,0
37110,10,0.0115,3.8340000000000005,0
23891786,10,0.0115,3.8340000000000005,0
22205980,10,0.0115,3.8340000000000005,0
70242778,10,0.0115,3.8340000000000005,0
97313825,10,0.0115,3.8340000000000005,0
95295586,10,0.0115,3.8340000000000005,0
92590645,10,0.0115,3.8340000000000005,0
87844239,10,0.0115,3.8340000000000005,0
84593961,10,0.0115,3.8340000000000005,0
84040798,10,0.0115,3.8340000000000005,0
77839607,10,0.0115,3.8340000000000005,0
60903955,10,0.0115,3.8340000000000005,0
22510327,10,0.0115,3.8340000000000005,0
57182314,10,0.0115,3.8340000000000005,0
47546086,10,0.0115,3.8340000000000005,0
46042404,10,0.0115,3.8340000000000005,0
44269370,10,0.0115,3.8340000000000005,0
34702473,10,0.0115,3.8340000000000005,0
32885741,10,0.0115,3.8340000000000005,0
1043037,10,0.0115,3.8340000000000005,0
1802018,10,0.0115,3.8340000000000005,0
22219,10,0.0115,3.8340000000000005,0
390946,10,0.0115,3.8340000000000005,0
300845,10,0.0115,3.8340000000000005,0
234628,10,0.0115,3.8340000000000005,0
424500,10,0.0115,3.8340000000000005,0
449555,10,0.0115,3.8340000000000005,0
180913,10,0.0115,3.8340000000000005,0
180089,10,0.0115,3.8340000000000005,0
170674,10,0.0115,3.8340000000000005,0
70260,10,0.0115,3.8340000000000005,0
473095,10,0.0115,3.8340000000000005,0
64948,10,0.0115,3.8340000000000005,0
567432,10,0.0115,3.8340000000000005,0
568436,10,0.0115,3.8340000000000005,0
577079,10,0.0115,3.8340000000000005,0
602681,10,0.0115,3.8340000000000005,0
626690,10,0.0115,3.8340000000000005,0
662336,10,0.0115,3.8340000000000005,0
714867,10,0.0115,3.8340000000000005,0
779094,10,0.0115,3.8340000000000005,0
853448,10,0.0115,3.8340000000000005,0
877236,10,0.0115,3.8340000000000005,0
61645,10,0.0115,3.8340000000000005,0
47125,10,0.0115,3.8340000000000005,0
888795,10,0.0115,3.8340000000000005,0
903028,10,0.0115,3.8340000000000005,0
904214,10,0.0115,3.8340000000000005,0
938742,10,0.0115,3.8340000000000005,0
269834,10,0.0115,3.8340000000000005,0
5153279,9,0.011380333333333333,3.7944444444444443,0
89482,8,0.0111565,3.72,0
98043078,8,0.0111565,3.72,0
320073,9,0.011125888888888888,3.708888888888889,0
271339,9,0.011125888888888888,3.708888888888889,0
88320463,9,0.011048777777777777,3.683333333333333,0
27551135,7,0.010953571428571427,3.652857142857143,0
91439,8,0.0109445,3.64875,0
9874152,9,0.010881111111111112,3.627777777777778,0
57329,3,0.010645666666666666,3.5500000000000003,0
90882505,4,0.0104385,3.4800000000000004,0
62188655,10,0.0103411,3.447,0
3777050,9,0.009916888888888888,3.3066666666666666,0
9906224,9,0.009761111111111111,3.2533333333333334,0
146489,9,0.009535888888888889,3.1788888888888893,0
9240971,5,0.0094996,3.168,0
992400,9,0.009483666666666666,3.1622222222222223,0
66881,5,0.008902799999999999,2.968,0
494468,10,0.0085353,2.846,0
98117,7,0.008403428571428572,2.801428571428571,0
70217,4,0.00798425,2.6625,0
971084,7,0.007913571428571428,2.6371428571428575,0
78901038,10,0.0070479,2.3500000000000005,0
76354180,10,0.0070479,2.35,0
3980258,10,0.0070479,2.35,0
13358751,10,0.0070479,2.35,0
55728776,10,0.0070479,2.35,0
10435578,3,0.005187,1.7300000000000002,0
