skill,average_similarity,average_competency_score,high_band_count
Programme Delivery,0.044871343749999994,4.487916666666667,0
Regulatory Reporting,0.03419897872340426,3.41936170212766,0
Data Governance,0.03376119387755102,3.3770408163265304,0
ETL Design,0.03368161458333333,3.3676041666666667,0
Risk Controls,0.0335638,3.3566315789473684,0
SQL,0.03125285416666667,3.125208333333333,0
Data Analysis,0.0279016,2.7896842105263158,0
Power BI,0.027811083333333333,2.7817708333333333,0
Stakeholder Management,0.024051446808510638,2.4048936170212767,0
Python,0.019560397959183674,1.955816326530612,0
